backbone,dataset,filesystem_artifact_records,registry_artifact_records,complete_test_artifacts,complete_three_seed_condition_rows,available_evidence,geometry_status,matched_rq2,reason_not_primary,manuscript_role
CBraMod,FACED,84,68,68,12,matched native/axis-blind/probe/full-tuning evidence,audited dataset geometry; backbone formatting documented separately,yes,,primary matched comparison
CBraMod,ISRUC,53,53,53,12,repaired native channel+patch and axis-blind packet; probe available,audited dataset geometry; backbone formatting documented separately,yes,,primary matched comparison
CBraMod,PhysioNet-MI,46,46,46,12,complete frozen controls and native variants,audited dataset geometry; backbone formatting documented separately,no,no predefined matched RQ2 packet,supporting boundary
CBraMod,SEED-V,60,50,50,9,complete frozen controls and native channel/patch variants,audited dataset geometry; backbone formatting documented separately,no,no complete matched native channel+patch RQ2 packet,supporting boundary
CBraMod,TUEV,59,54,57,12,"complete frozen controls, native variants, full tuning, and operator audit",audited dataset geometry; backbone formatting documented separately,yes,,primary matched comparison
LaBraM,FACED,111,24,24,5,five three-seed frozen/LoRA/upper conditions,audited dataset geometry; backbone formatting documented separately,no,legacy context; no strict matched axis-blind RQ2 packet,geometry-boundary context
LaBraM,ISRUC,62,40,40,1,strict axis-blind registry packet plus 19-row three-seed legacy context package,audited dataset geometry; backbone formatting documented separately,no,native/probe/control configurations are legacy/non-homogeneous,geometry-boundary context
LaBraM,PhysioNet-MI,35,32,32,9,"complete frozen, native, LoRA, upper, and dense variants",audited dataset geometry; backbone formatting documented separately,no,no strict matched axis-blind RQ2 packet,supporting boundary
LaBraM,SEED-V,129,47,47,4,"complete generic, LoRA, and Upper-2 three-seed conditions; legacy native/probe records",audited dataset geometry; backbone formatting documented separately,no,no matched native/probe/axis-blind matrix,geometry-boundary context
LaBraM,TUEV,54,49,52,12,"complete frozen native/probe/axis-blind, LoRA, upper, and operator-audit evidence",audited dataset geometry; backbone formatting documented separately,yes,,primary matched comparison
