backbone,dataset,run_id,artifact_dir,method,axis,seed,candidate,candidate_score,contract_valid,status,selected_epoch,val_selection_value,balanced_accuracy,cohen_kappa,macro_f1,weighted_f1,trainable_parameters,adapter_delta_ratio,adapter_parameter_count,backbone_update_norm,evidence_status,candidate_status,artifact_status,manual_status,evidence_reason,scope_note,canonical_group_n,canonical_group_seeds,configuration_homogeneous,alignment_control_available,probe_available,rq1_eligible,rq2_eligible,rq3_eligible,rq4_eligible,reviewed_by,review_date,review_notes,source_log_path,previous_status,status_change_reason,status_change_date,exclusion_reason_code,source
CBraMod,faced,faced_cbramod_original_s42_lr1e-4_b64_e50_r3,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr1e-4_b64_e50_r3,full_finetune,none,42,True,7,True,completed,25,0.5754929712613347,0.5831991411701556,0.5271355002814669,0.5909614301650772,0.5864019244151826,133287809,,0,0.013130431063473225,PRIMARY,PRIMARY_CANDIDATE,UNREVIEWED,UNREVIEWED,strict canonical three-seed group,,3,"42,1024,3407",true,unknown,unknown,no,no,no,yes,,,,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr1e-4_b64_e50_r3,,,,UNREVIEWED,summary.json + test_metrics.json
CBraMod,faced,faced_cbramod_original_s42_lr5e-5_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr5e-5_b64_e50,full_finetune,none,42,False,2,True,completed,30,0.5456989247311828,0.548443370907139,0.4896975010960105,0.5570619401629309,0.5529340666385933,133287809,,0,0.013519388623535633,SUPPORTING,SUPPORTING_CANDIDATE,UNREVIEWED,UNREVIEWED,completed legacy or non-strict artifact; manual audit required,,3,"42,1024,3407",true,unknown,unknown,no,no,no,yes,,,,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr5e-5_b64_e50,,,,UNREVIEWED,summary.json + test_metrics.json
CBraMod,faced,faced_cbramod_original_s42_lr2e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr2e-4_b64_e50,full_finetune,none,42,False,2,True,completed,31,0.566954851104707,0.5848094471282876,0.528552650795969,0.5927267446605214,0.5872346821856176,133287809,,0,0.016217898577451706,SUPPORTING,SUPPORTING_CANDIDATE,UNREVIEWED,UNREVIEWED,completed legacy or non-strict artifact; manual audit required,,3,"42,1024,3407",true,unknown,unknown,no,no,no,yes,,,,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr2e-4_b64_e50,,,,UNREVIEWED,summary.json + test_metrics.json
CBraMod,faced,faced_cbramod_original_s42_lr5e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr5e-4_b64_e50,full_finetune,none,42,False,2,True,completed,22,0.5731912237745451,0.5888352120236178,0.5342683028633441,0.6000339487659958,0.5950543813317124,133287809,,0,0.020604420453310013,SUPPORTING,SUPPORTING_CANDIDATE,UNREVIEWED,UNREVIEWED,completed legacy or non-strict artifact; manual audit required,,3,"42,1024,3407",true,unknown,unknown,no,no,no,yes,,,,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr5e-4_b64_e50,,,,UNREVIEWED,summary.json + test_metrics.json
CBraMod,faced,faced_cbramod_original_s1024_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s1024_lr1e-4_b64_e50,full_finetune,none,1024,True,7,True,completed,18,0.5557369179068652,0.5619967793880838,0.505205399428345,0.5675525451894428,0.5641155910561543,133287809,,0,0.01328353863209486,PRIMARY,PRIMARY_CANDIDATE,UNREVIEWED,UNREVIEWED,strict canonical three-seed group,,3,"42,1024,3407",true,unknown,unknown,no,no,no,yes,,,,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s1024_lr1e-4_b64_e50,,,,UNREVIEWED,summary.json + test_metrics.json
CBraMod,faced,faced_cbramod_original_s3407_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s3407_lr1e-4_b64_e50,full_finetune,none,3407,True,7,True,completed,27,0.5678867154686189,0.5701825013419217,0.5139172891541126,0.5772939497719034,0.5732697153020277,133287809,,0,0.01238232757896185,PRIMARY,PRIMARY_CANDIDATE,UNREVIEWED,UNREVIEWED,strict canonical three-seed group,,3,"42,1024,3407",true,unknown,unknown,no,no,no,yes,,,,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s3407_lr1e-4_b64_e50,,,,UNREVIEWED,summary.json + test_metrics.json
CBraMod,faced,faced_generic_bottleneck_s42_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_generic_bottleneck_s42_lr1e-4_b64_e50,generic_bottleneck,none,42,False,7,True,completed,38,0.42473569390837385,0.42592592592592593,0.35087353542092314,0.4300334903408032,0.4270873293860087,128430274,,26265,0.0,SUPPORTING,SUPPORTING_CANDIDATE,UNREVIEWED,UNREVIEWED,completed legacy or non-strict artifact; manual audit required,,3,"42,1024,3407",true,unknown,unknown,no,no,no,yes,,,,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_generic_bottleneck_s42_lr1e-4_b64_e50,,,,UNREVIEWED,summary.json + test_metrics.json
CBraMod,faced,faced_frozen_probe_s42_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_frozen_probe_s42_lr1e-4_b64_e50,frozen_probe,none,42,False,7,True,completed,14,0.2335839839072753,0.25966183574879226,0.16698544698544693,0.21397882029985438,0.21669086123152226,128404009,,0,0.0,SUPPORTING,SUPPORTING_CANDIDATE,UNREVIEWED,UNREVIEWED,completed legacy or non-strict artifact; manual audit required,,3,"42,1024,3407",true,unknown,unknown,no,no,no,yes,,,,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_frozen_probe_s42_lr1e-4_b64_e50,,,,UNREVIEWED,summary.json + test_metrics.json
CBraMod,faced,faced_lora_qkv_r8_s42_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_lora_qkv_r8_s42_lr1e-4_b64_e50,lora,none,42,False,7,True,completed,38,0.47200230315243985,0.500805152979066,0.4353873423000729,0.5045766627858033,0.5012788650178033,128480809,,0,0.0,SUPPORTING,SUPPORTING_CANDIDATE,UNREVIEWED,UNREVIEWED,completed legacy or non-strict artifact; manual audit required,,3,"42,1024,3407",true,unknown,unknown,no,no,no,yes,,,,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_lora_qkv_r8_s42_lr1e-4_b64_e50,,,,UNREVIEWED,summary.json + test_metrics.json
CBraMod,faced,faced_native_channel_s42_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_channel_s42_lr1e-4_b64_e50,interaction_aligned,channel,42,False,7,True,completed,46,0.2536998898414674,0.2616747181964573,0.16802861123240387,0.22856839941921722,0.22957412724238477,128433814,0.4829062521457672,29805,0.0,SUPPORTING,SUPPORTING_CANDIDATE,UNREVIEWED,UNREVIEWED,completed legacy or non-strict artifact; manual audit required,,3,"42,1024,3407",true,control_only,yes,no,no,no,yes,,,,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_channel_s42_lr1e-4_b64_e50,,,,UNREVIEWED,summary.json + test_metrics.json
