backbone,dataset,method,variant,seed,run_id,source_artifact,commit,evidence_tier,manuscript_role,paired_control_run_id,paired_variant,pair_valid,parameter_match_pct,trainability_regime,trainable_parameters,selector_metric,selected_epoch,balanced_accuracy,macro_f1,kappa,weighted_f1,audit_status,audit_notes,selection_rule
CBraMod,faced,full_finetune,none,1024,faced_cbramod_original_s1024_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s1024_lr1e-4_b64_e50,,PRIMARY_CANDIDATE,RQ3,,,,,trainable,133287809,validation_kappa,18,0.5619967793880838,0.5675525451894428,0.505205399428345,0.5641155910561543,UNREVIEWED,,complete_three_seed:full_finetune:none
CBraMod,faced,full_finetune,none,3407,faced_cbramod_original_s3407_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s3407_lr1e-4_b64_e50,,PRIMARY_CANDIDATE,RQ3,,,,,trainable,133287809,validation_kappa,27,0.5701825013419217,0.5772939497719034,0.5139172891541126,0.5732697153020277,UNREVIEWED,,complete_three_seed:full_finetune:none
CBraMod,faced,full_finetune,none,42,faced_cbramod_original_s42_lr1e-4_b64_e50_r3,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr1e-4_b64_e50_r3,,PRIMARY_CANDIDATE,RQ3,,,,,trainable,133287809,validation_kappa,25,0.5831991411701556,0.5909614301650772,0.5271355002814669,0.5864019244151826,UNREVIEWED,,complete_three_seed:full_finetune:none
CBraMod,faced,axis_blind,generic_token_control,1024,faced_evalmode_frozen_axis_blind_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s1024_20260804,,PRIMARY_CANDIDATE,RQ2,faced_evalmode_frozen_axis_blind_s1024_20260804,channel_patch,PAIR_ARTIFACT_UNVERIFIED,0.5654806585597758,frozen,128463958,validation_kappa,32,0.3852657004830918,0.38599831322065864,0.3065033537474482,0.3848693007810737,UNREVIEWED,,complete_three_seed:axis_blind:generic_token_control
CBraMod,faced,axis_blind,generic_token_control,3407,faced_evalmode_frozen_axis_blind_s3407_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s3407_20260804,,PRIMARY_CANDIDATE,RQ2,faced_evalmode_frozen_axis_blind_s3407_20260804,channel_patch,PAIR_ARTIFACT_UNVERIFIED,0.5654806585597758,frozen,128463958,validation_kappa,34,0.3913043478260869,0.38906197842338075,0.31424045356011343,0.38850024109873615,UNREVIEWED,,complete_three_seed:axis_blind:generic_token_control
CBraMod,faced,axis_blind,generic_token_control,42,faced_evalmode_frozen_axis_blind_s42_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s42_20260804,,PRIMARY_CANDIDATE,RQ2,faced_evalmode_frozen_axis_blind_s42_20260804,channel_patch,PAIR_ARTIFACT_UNVERIFIED,0.5654806585597758,frozen,128463958,validation_kappa,27,0.38727858293075684,0.38725319859351187,0.30842600691407396,0.38596753008255563,UNREVIEWED,,complete_three_seed:axis_blind:generic_token_control
CBraMod,faced,interaction_aligned,channel_patch,1024,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,,PRIMARY_CANDIDATE,RQ1;RQ2,faced_evalmode_frozen_axis_blind_s1024_20260804,channel_patch,PAIR_ARTIFACT_UNVERIFIED,0.5654806585597758,frozen,128463619,validation_kappa,44,0.3875469672571122,0.387896632331497,0.3088363954505686,0.3865745094976027,UNREVIEWED,,complete_three_seed:interaction_aligned:channel_patch
CBraMod,faced,interaction_aligned,channel_patch,3407,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,,PRIMARY_CANDIDATE,RQ1;RQ2,faced_evalmode_frozen_axis_blind_s3407_20260804,channel_patch,PAIR_ARTIFACT_UNVERIFIED,0.5654806585597758,frozen,128463619,validation_kappa,18,0.39023081052066555,0.389112028967704,0.31227865505603936,0.3881569328609679,UNREVIEWED,,complete_three_seed:interaction_aligned:channel_patch
CBraMod,faced,interaction_aligned,channel_patch,42,faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,,PRIMARY_CANDIDATE,RQ1;RQ2,faced_evalmode_frozen_axis_blind_s42_20260804,channel_patch,PAIR_ARTIFACT_UNVERIFIED,0.5654806585597758,frozen,128463619,validation_kappa,37,0.3951959205582394,0.39505783033163044,0.31846788646688606,0.3943868787640964,UNREVIEWED,,complete_three_seed:interaction_aligned:channel_patch
CBraMod,faced,generic_bottleneck,none,1024,faced_evalmode_frozen_generic_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_generic_s1024_20260804,,PRIMARY_CANDIDATE,CONTEXT,,,,,trainable,128430274,validation_kappa,18,0.38754696725711213,0.3863050278036913,0.31001125797439844,0.38562317376620586,UNREVIEWED,,complete_three_seed:generic_bottleneck:none
